"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"5659","Normal/Others","WS/MP18011/2024-2025/173487-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to scheme source near in SC colony in Pyalakurthy","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199998"
"5660","Normal/Others","WS/MP18011/2024-2025/173497-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near in Digopadu Rastha at Gargeyapuram","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199939"
"5661","Normal/Others","WS/MP18011/2024-2025/174022-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near SC colony at Sangala","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199955"
"5662","Normal/Others","WS/MP858/2024-2025/135279-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","CONSTRUCTION OF C C ROAD FROM PMGSY ROAD TO ANU DAS HOUSE AT BHALUGRAM GP ,EXCUTING AGENCY WILL BE MONGALKOTE PANCHYET SAMITY","Asit Kumar Mal","BOLPUR(SC)","Images","16-Apr-2025","356247"
"5663","Normal/Others","WS/MP18011/2024-2025/174021-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near BC colony at Krishnadoddi","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199955"
"5664","Normal/Others","WS/MP18011/2024-2025/174020-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near SC colony at Byatholi","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199998"
"5665","Normal/Others","WS/MP18011/2024-2025/174019-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near BC colony at Yanagandla","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199998"
"5666","Normal/Others","WS/MP18011/2024-2025/174018-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near SC colony at Yanagandla","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199939"
"5667","Normal/Others","WS/MP18011/2024-2025/174015-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source in Road side at Chillabanda","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199980"
"5668","Normal/Others","WS/MP18011/2024-2025/174014-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near BC colony at Kalapari","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199939"
"5669","Normal/Others","WS/MP18011/2024-2025/174013-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near SC colony at Krishnapuram","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199939"
"5670","Normal/Others","WS/MP18011/2024-2025/173515-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near in BC colony at C Belagal","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199939"
"5671","Normal/Others","WS/MP18011/2024-2025/173512-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near in ST Colony at Polakal","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199954"
"5672","Normal/Others","WS/MP18011/2024-2025/173514-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near in SC colony at C Belagal","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199978"
"5673","Normal/Others","WS/MP18011/2024-2025/173505-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near modern school at Julakallu","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199998"
"5674","Normal/Others","WS/MP18011/2024-2025/173509-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near Shed at Munagala","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199955"
"5675","Normal/Others","WS/MP18011/2024-2025/173511-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near village entrance at Mallapuram","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199939"
"5676","Normal/Others","WS/MP18204/2024-2025/154446-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Bakshipura Near Shiv Sati Mandir/Kabristan ke pass Alok Pathak Ke ghar Ke samne Dinesh Mishra Ke Ghar Ke Taraf Interlocking and Nali Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","702007"
"5677","Normal/Others","WS/MP18011/2024-2025/173496-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near in ST colony at Gargeyapuram","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199960"
"5678","Normal/Others","WS/MP18011/2024-2025/173504-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near shed at R Khanapuram","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199955"
"5679","Normal/Others","WS/MP18204/2024-2025/154447-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Bahraich Nagar Ke Mohalla Raipurraja me Marchari Road Se Rajat Kher Ji ke Ghar Ke Aaage tak Nali Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","274875"
"5680","Normal/Others","WS/MP18204/2024-2025/154445-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Gram Bahorikapur ke Majra Dhaurhara me Chhotelal ke Ghar se Pradeep Kumar ke Ghar Hote Huye Bhagwati Prasad aur Bechelal Ke Ghar Ki taraf Interlocking Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","1011734"
"5681","Normal/Others","WS/MP18011/2024-2025/173503-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near village entrance at Penchikalapadu","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199960"
"5682","Normal/Others","WS/MP18204/2024-2025/154449-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Bahraich Nagar Ke Mohalla Raipurraja me Rupali Srivastava Ji Ke Ghar Se Ashok Kumar Bhashkar Ke Ghar Tak C. C. Road Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Jan-2026","332953"
"5683","Normal/Others","WS/MP18204/2024-2025/154448-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Bahraich Nagar Ke Mohalla Raipurraja me Shri Ajeet Singh ke Ghar Ke Bagal me C P Srivastava Ke Plot Tak Interlocking aur Nali Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","334370"
"5684","Normal/Others","WS/MP18011/2024-2025/173502-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near in SC colony at K Nagalapuram","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199939"
"5685","Normal/Others","WS/MP18204/2024-2025/154512-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Gram Panchayat Khaira ke Majra Badhiyanpurwa me Bharatlal Pandey Ke Khet Se Irfan ke Ghar Hote huye Vishwakarma ke Ghar tak C. C Road ka Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","2386302"
"5686","Normal/Others","WS/MP18204/2024-2025/154511-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Gram Panchayat Tingai Ke Majra Jasora Me Prathmik Vidyalaya se Baijnath Yadav ke Ghar Tak C. C. Road Ka Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","985122"
"5687","Normal/Others","WS/MP18204/2024-2025/154509-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Mohalla Raipuraja me Kati Chaurahe ke pass Ajay Singh Ajju ke Ghar ke Samne se Pammu Singh ke Ghar tak Interlocking aur Nali Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Jan-2026","1249899"
"5688","Normal/Others","WS/MP18204/2024-2025/154516-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Gram Panchayat Maigla Me Maigla Chandanpur Sampark Marg Se Kheshari Lal ke Khet ke taraf C. C. Road ka Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","2055711"
"5689","Normal/Others","WS/MP18204/2024-2025/154515-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Gram Panchayat Maigla Me Maigla Chandanpur Sampark Marg Se Shri Padamsen Chaudhary Ke Ghar Tak C. C. Road ka Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Jan-2026","1085675"
"5690","Normal/Others","WS/MP18137/2025-2026/158681-Purchase of furniture and fixtures for educational purposes","Meghalaya","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","Purchase for school furniture and fixtures for educational purposes @ Jingshai Barit LP School","ANDREW J. SYNGKON","SHILLONG","Images","08-Sep-2025","200000"
"5691","Normal/Others","WS/MP18204/2024-2025/156083-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Katghara Kala me Daamar Road Rajkumar SIngh ke Ghar se Samay Mata Mandir Tak Interlocking Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","560304"
"5692","Normal/Others","WS/MP18204/2024-2025/156087-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Aminpur Nagraur me Gonda Road Par Sharad Singh ke Ghar se Loha Bhattha ke Saamne tak interlocking road ka nirman karya","ANAND KUMAR","BAHRAICH(SC)","Images","30-Mar-2026","558813"
"5693","Normal/Others","WS/MP18204/2024-2025/156089-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Gram Ranjitpur ke mauja Adilpur me C.C. Road se Vishunath ke ghar se mahboobchak Prathmik Vidyalaya ta InterLocking Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","873837"
"5694","Normal/Others","WS/MP18204/2024-2025/156092-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Vikas Khand Payagpur ke Gram imaliya Ganj ke Majra Pradhanpurwa me pich road se Dharmendra Singh ke awas hokar Bramhdev Baba Asthan tak Interlocking Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Jan-2026","630371"
"5695","Normal/Others","WS/MP18204/2024-2025/156096-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Vikas khand Payagpur ke gram Beerpur me Primary School/Junior High School ke Beech se hokar Chauhan Lal ke ghar hote hue Chinku ke Ghar tak Interlocking Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","1174451"
"5696","Normal/Others","WS/MP18204/2024-2025/156099-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Vikas Khand Payagpur ke Gram Panchayat Sewara ke Majra Mehilalpurwa me Salikram ke Ghar se Ram Adheen ke Hata hote hue Pakki Sadak tak Interlocking Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Jan-2026","993887"
"5697","Normal/Others","WS/MP18188/2025-2026/159664-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","Laying of CC Road from Main Road  to Crematorium at Rampur   Village of Kotepally Mandal","KONDA VISHWESHWAR REDDY","CHELVELLA","Images","16-Apr-2025","124680"
"5698","Normal/Others","WS/MP18204/2024-2025/156106-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Vikas Khand Payagpur ke Gram Panchayat BaBhaniyawan me Bhagwandeen ke Dukan Se Rajkumar Tiwari Ke Ghar Tak cc road evam naali nirman kaarya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","2475249"
"5699","Normal/Others","WS/MP18204/2024-2025/156107-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","vikas khand chittaura ke gram rasoolpur sarinya mein prathmik vidhyalya rasoolpur v damar road se rajkumar chaudhary ke ghar tak interlocking v naali nirman kaarya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Jan-2026","1649491"
"5700","Normal/Others","WS/MP18204/2024-2025/156108-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","vikas khand chittaura ke gram rasoolpur sarinya mein santram ke ghar se poorv pradhan ramchabile ke ghar ki taraf interlocking v naali nirmaan kaarya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","776926"
"5701","Normal/Others","WS/MP18204/2024-2025/156109-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","gram panchayat janijot mein raghav ram cashier ke ghar ke samne se pehlvaan ke ghar hote hue puliya ki taraf interlocking nirman kaary","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","1565597"
"5702","Normal/Others","WS/MP18204/2024-2025/156140-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Hujurpur ke graam gokulpur ke majra shrawanpurwa mein mannu singh ke khet se jaiprakash ke khet tak naala nirmaan karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","1513598"
"5703","Normal/Others","WS/MP18188/2025-2026/159665-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","Laying of CC Road in S.C.Colony at Rampur   Village of Kotepally Mandal","KONDA VISHWESHWAR REDDY","CHELVELLA","Images","16-Apr-2025","124955"
"5704","Normal/Others","WS/MP18204/2024-2025/156143-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","bahraich, balrampur sampark marg se shri dharm kaanta se assam road tak khadanja nirmaan kaarya chaandmaari bakshipura","ANAND KUMAR","BAHRAICH(SC)","Images","15-Jan-2026","663496"
"5705","Normal/Others","WS/MP18204/2024-2025/156149-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Dharmapur me Kaluram Ke Khet se Dayaram ke Khet ke taraf Kharanja Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","2488465"
"5706","Normal/Others","WS/MP18204/2024-2025/156156-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Gram Semari Malmala ke Bhagwandas Farm Nagar Kali Mandir ke Saamne se Shivsharan ke Khet tak C.C. Road ka Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Jan-2026","1888458"
"5707","Normal/Others","WS/MP18204/2024-2025/156177-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Bahraich Nagar Ke Makkapurwa Me BD Pandey Ji Ke Makan se Haribaksh Singh ke Makan hote Huye Maurya Ji Ke Makan Tak Interlocking And Nali Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","612780"
"5708","Normal/Others","WS/MP18204/2024-2025/156178-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Mahsi ke Gram Rehuya Mansur me Pachdev Awasthi ke Ghar Se Madhavdeen Mishra ke Ghar Hote huye Sanatan Shaheedram Gopal Mishra Ke Ghar Ke pass Sanjeev Mishra Ke Ghar Tak Interlocking and Nali Nirman Karya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","1143817"
"5709","Normal/Others","WS/MP18204/2024-2025/156179-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","graam panchayata sorahiya ke majra sehajrampurwa mein munsi lal soni ke ghar se molhey verma ke ghar tak interlocking nirman kaarya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","840831"
"5710","Normal/Others","WS/MP18204/2024-2025/156190-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA)","Bisunapur mein ram nath ke baag se bharat gas agency ki taraf interlocking ka nirman kaarya","ANAND KUMAR","BAHRAICH(SC)","Images","15-Nov-2025","2481252"
"5711","Normal/Others","WS/MP18011/2024-2025/173501-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near Kothakota Rastha at Sunkesula","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199939"
"5712","Normal/Others","WS/MP18011/2024-2025/173499-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near Kurnool Rastha at Remata","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199998"
"5713","Normal/Others","WS/MP18188/2025-2026/159667-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","Laying of CC Road from P.Malla Reddy (H) to Boini Laxmaiah (H) at Kankanalapally (V), Kotepally (M)","KONDA VISHWESHWAR REDDY","CHELVELLA","Images","16-Apr-2025","124583"
"5714","Normal/Others","WS/MP18272/2024-2025/166039-Lighting of public spaces","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Installation of 9 mtr High Mast pole with 4 nos. 50 watt solar light at 7 (seven) different place under Shimalpal GP and Belpahari GP of Jhargram district.","KALIPADA SAREN","JHARGRAM(ST)","Images","05-Aug-2026","2010567"
"5715","Normal/Others","WS/MP18272/2024-2025/163448-Lighting of public spaces","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Installation 12 mtr High Mast pole with 6 nos 50 watt Solar Light at 6 (six) nos different place of Andhari Gram Panchayat under Sankrail Panchayat Samity within Jhargram District.","KALIPADA SAREN","JHARGRAM(ST)","Images","05-Aug-2026","2266804"
"5716","Normal/Others","WS/MP18188/2025-2026/159666-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","Laying of CC Road from Sanjeeva Reddy (H) to Mala Bavi at Mothukupally (V), Kotepally (M)","KONDA VISHWESHWAR REDDY","CHELVELLA","Images","16-Apr-2025","124656"
"5717","Normal/Others","WS/MP18272/2024-2025/163367-Street lights","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Installation of 36 (Thirty six) nos. single arm 18 watt LED Based Solar Light at Different place of Salboni Gram Panchayat in Jhargram Panchayat Samity of Jhargram district.","KALIPADA SAREN","JHARGRAM(ST)","Images","04-Aug-2026","1224932"
"5718","Normal/Others","WS/MP18272/2024-2025/163365-Street lights","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Installation of 36 (Thirty six) nos. single arm 18 watt LED Based Solar Light at Different place of Nedabahara Gram Panchayat in Jhargram Panchayat Samity of Jhargram district.","KALIPADA SAREN","JHARGRAM(ST)","Images","04-Aug-2026","1224932"
"5719","Normal/Others","WS/MP18272/2024-2025/163363-Street lights","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Installation of 36 (Thirty six) nos. single arm 18 watt LED Based Solar Light at Different place of Bandhgora Gram Panchayat in Jhargram Panchayat Samity of Jhargram district.","KALIPADA SAREN","JHARGRAM(ST)","Images","05-Aug-2026","1224932"
"5720","Normal/Others","WS/MP18272/2024-2025/163366-Lighting of public spaces","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Installation of 9 mtr High Mast pole with 4 nos. 50 watt Solar Light at 2 (two) nos. different place of Salboni Gram Panchayat in Jhargram Panchayat Samity of Jhargram district.","KALIPADA SAREN","JHARGRAM(ST)","Images","04-Aug-2026","574448"
"5721","Normal/Others","WS/MP18272/2024-2025/163447-Lighting of public spaces","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Installation of 9 mtr High Mast pole with 4 nos. 50 watt Solar Light at different places of Radhanagar GP under Jhargram Panchayat Samity.","KALIPADA SAREN","JHARGRAM(ST)","Images","04-Aug-2026","574448"
"5722","Normal/Others","WS/MP18272/2024-2025/163364-Lighting of public spaces","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Installation of 9 mtr High Mast pole with 4 nos. 50 watt Solar Light at 2 (two) nos. different place of Nedabahara Gram Panchayat in Jhargram Panchayat Samity of Jhargram district.","KALIPADA SAREN","JHARGRAM(ST)","Images","05-Aug-2026","574448"
"5723","Normal/Others","WS/MP18272/2024-2025/166038-Lighting of public spaces","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Installation of 3 (three) 10.5 mtr High Mast pole with 4 nos. 50 watt solar light at Orgonda Bhairab ground under Bhelaidiha GP of Jhargram district.","KALIPADA SAREN","JHARGRAM(ST)","Images","05-Aug-2026","883124"
"5724","Normal/Others","WS/MP18272/2024-2025/163362-Lighting of public spaces","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","Installation of 9 mtr High Mast pole with 4 nos. 50 watt Solar Light at 2 (two) nos. different place of Bandhgora Gram Panchayat in Jhargram Panchayat Samity of Jhargram district.","KALIPADA SAREN","JHARGRAM(ST)","Images","06-Aug-2026","574448"
"5725","Normal/Others","WS/MP825/2024-2025/167590-Street lights","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Providing of Semi High Mast light in front of Chandni Masjid of A.C-174 under MPLAD","Prasun Banerjee","HOWRAH","Images","16-Apr-2025","149830"
"5726","Normal/Others","WS/MP18011/2024-2025/173500-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near Anjaneya swamy temple at R Konthalapadu","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199939"
"5727","Normal/Others","WS/MP18011/2024-2025/174016-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near SC colony at Padidempadu","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199949"
"5728","Normal/Others","WS/MP18011/2024-2025/174017-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near Remata Rastha at Tolisapuram","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199939"
"5729","Normal/Others","WS/MP18011/2024-2025/173498-Installing tube-wells and borewells","Andhra Pradesh","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","Drilling of new borewell to Scheme source near church of SC colony at Remata","BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Images","13-Aug-2025","199960"
"5730","Normal/Others","WS/MP18100/2024-2025/176863-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","Construction Of CC Roads in main Road Se Lohangi Tekdi Tak Haran Bhatta Parasia","BUNTY VIVEK SAHU","CHHINDWARA","Images","16-Feb-2026","1000000"
"5731","Normal/Others","WS/MP18394/2024-2025/151354-Lighting of public spaces","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Providing High mass Light at near malapatti  Mohanur Block (12 mts Ladder - 200 Watts - 6 nos)","V S Matheswaran","NAMAKKAL","Images","16-Apr-2025","349929"
"5732","Normal/Others","WS/MP18251/2024-2025/158041-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","CONSTRUCTION OF CC CONCRETE ROAD AT VILL-SHIBSUTI FROM H/O AMULYA SARDAR  TO H/O BISWAJIT NASKAR VIA H/O GANESH NASKAR & KESHTO NASKAR UNDER SIKHARBALI I GP UNDER BARUIPUR PASCHIM AC","SAYANI GHOSH","JADAVPUR","Images","06-May-2025","500000"
